MLS#,CPR,Photos,Original Price,Region,Sold Price,Sold Ratio,Orig. Ratio,Beds,Living Sq Ft,Land Sq Ft,Year,Days,Condition,Tax,Total Fees,Land.1,Building,Assessed Total,Assessed Ratio,Zoning,Flood Zone,View,Pool,Easements,Stories,SoldDate,ListDate,priceInc,priceDec,largeCPR,aboveOrig,fullBaths,halfBaths,rem5Yrs,Parking2,level,Basement,splitLevel
202118893,0,20,1098000,Metro,1050000,0.9563,1.0457,5,2112,9283,2001,33,5.0,267,0,563400,319300,882700,1.2439,05 - R-5 Residential District,Zone X,1,0,1,,2021-10-14,2021-07-20,0,0,0,1,3,1,1,3,0,1,1
202119692,0,12,1195000,HawaiiKai,1157000,0.9682,1.0328,3,1366,7058,1978,30,5.0,246,0,761000,181100,942100,1.2684,05 - R-5 Residential District,Zone D,1,0,0,1.0,2021-10-14,2021-07-30,0,0,0,1,2,0,0,2,1,0,0
202120384,0,25,1299000,HawaiiKai,1375000,1.0585,0.9447,3,1570,7879,1979,15,4.0,330,0,814300,370100,1184400,1.0968,05 - R-5 Residential District,Zone D,1,0,0,3.0,2021-10-13,2021-08-11,0,0,0,0,2,0,0,2,0,0,0
202118929,0,25,1150000,DiamondHd,1050000,0.913,1.0952,3,1424,30542,1947,24,4.5,197,0,730300,86100,816400,1.4086,05 - R-5 Residential District,Zone X,1,0,0,1.0,2021-10-12,2021-07-18,0,0,0,1,1,1,0,3,0,0,1
202109041,0,7,1075000,Metro,1010000,0.9951,1.0644,5,1420,4904,1940,100,4.0,212,0,643800,118800,762600,1.331,05 - R-5 Residential District,Zone X,1,0,1,1.0,2021-10-11,2021-04-13,0,1,0,1,2,0,0,3,0,0,0
202116300,0,19,839000,DiamondHd,910000,1.0846,0.922,3,924,5156,1964,12,3.5,219,0,591300,160300,751600,1.1163,05 - R-5 Residential District,Zone X,1,0,1,1.0,2021-10-08,2021-06-25,0,0,0,0,1,1,1,3,1,0,0
202126393,0,1,925000,DiamondHd,925000,1.0,1.0,4,1672,5060,1948,77,4.0,155,0,684100,57800,741900,1.2468,05 - R-5 Residential District,Zone X,0,0,0,2.0,2021-10-08,2021-07-23,0,0,0,0,2,2,0,2,0,0,0
202120070,0,17,955000,Metro,915000,0.9581,1.0437,3,1220,6876,1969,20,3.5,281,0,760100,138200,898300,1.0631,05 - R-5 Residential District,Zone X,0,0,1,1.0,2021-10-08,2021-08-11,0,0,0,1,2,0,0,2,0,0,0
202107812,0,24,1450000,Metro,1360000,0.9379,1.0662,6,2208,13576,2003,146,5.0,336,0,937600,316100,1253700,1.1566,05 - R-5 Residential District,Zone X,1,0,1,2.0,2021-10-08,2021-03-26,0,0,0,1,5,0,0,3,1,0,0
202121959,0,25,995000,DiamondHd,1010000,1.0151,0.9851,7,2999,6249,1949,2,3.0,209,0,615000,78400,693400,1.435,05 - R-5 Residential District,Zone X,1,0,1,3.0,2021-10-07,2021-09-02,0,0,0,0,2,0,1,1,0,0,1
202112738,0,22,1265000,Metro,1150000,0.9599,1.1,3,1456,5154,1925,73,4.5,262,0,736600,111700,848300,1.4122,12 - A-2 Medium Density Apartme,Zone X,0,0,0,1.0,2021-10-07,2021-05-20,0,1,0,1,1,1,0,3,1,1,0
202119336,0,22,925000,Metro,950000,1.027,0.9737,3,1012,5672,1954,10,3.0,280,0,716300,66300,782600,1.182,05 - R-5 Residential District,Zone X,1,0,0,1.0,2021-10-06,2021-07-23,0,0,0,0,1,1,0,2,1,0,0
202110041,0,15,1100000,Metro,950000,0.9764,1.1579,4,1032,5561,1938,124,6.0,237,0,703200,58700,761900,1.2771,05 - R-5 Residential District,Zone X,0,0,1,1.0,2021-10-06,2021-04-28,0,1,0,1,2,0,1,3,1,0,0
202119750,0,25,1100000,Metro,1200000,1.0909,0.9167,3,1522,6511,1968,15,4.0,237,0,735800,166000,901800,1.2198,05 - R-5 Residential District,Zone X,1,0,0,1.0,2021-10-06,2021-08-02,0,0,0,0,2,1,0,2,0,0,0
202117849,0,25,1199000,DiamondHd,1255000,1.0467,0.9554,2,1800,6090,1929,7,4.5,296,0,920500,210900,1131400,1.0597,05 - R-5 Residential District,Zone X,0,0,1,1.0,2021-10-06,2021-07-01,0,0,0,0,2,1,0,3,1,0,0
202120626,0,25,965000,DiamondHd,1065000,1.1036,0.9061,2,1191,5000,1949,12,3.5,383,0,850000,159600,1009600,0.9558,05 - R-5 Residential District,Zone X,0,0,0,1.0,2021-10-05,2021-08-12,0,0,0,0,1,1,0,2,1,0,0
202121569,0,25,1399000,HawaiiKai,1500000,1.0722,0.9327,3,1562,6420,1965,4,6.0,197,0,760400,35900,796300,1.7569,05 - R-5 Residential District,Zone D,1,1,0,1.0,2021-10-05,2021-08-31,0,0,0,0,2,0,1,2,1,0,0
202118908,0,24,1480000,Metro,1480000,1.0,1.0,5,1808,10723,1949,15,6.0,758,0,1279200,157600,1436800,1.0301,03 - R10 - Residential District,Zone X,1,0,1,1.0,2021-10-05,2021-07-20,0,0,0,0,2,1,0,1,0,0,1
202120628,0,14,899000,DiamondHd,950000,1.0567,0.9463,3,1024,5943,1968,8,3.0,259,0,738300,187300,925600,0.9713,05 - R-5 Residential District,Zone X,0,0,1,1.0,2021-10-04,2021-08-17,0,0,0,0,1,1,0,3,1,0,0
202118747,0,15,1188000,DiamondHd,1080000,0.9926,1.1,4,1248,5000,1968,12,5.0,210,0,656000,203800,859800,1.2654,05 - R-5 Residential District,Zone X,1,0,0,1.0,2021-10-04,2021-07-23,0,1,0,1,2,0,0,3,1,0,0
202120980,0,19,1250000,HawaiiKai,1380000,1.104,0.9058,4,2160,7540,1979,16,6.0,145,0,691600,252300,943900,1.3243,05 - R-5 Residential District,Zone D,1,0,1,1.0,2021-10-04,2021-08-16,0,0,0,0,3,0,1,3,0,0,0
202120506,0,24,1398000,Metro,1398000,1.0,1.0,3,2234,6451,1970,26,6.0,388,0,801600,212800,1014400,1.3782,05 - R-5 Residential District,Zone X,1,0,1,1.0,2021-10-04,2021-08-11,0,0,0,0,3,1,1,2,1,0,0
202113439,0,25,1629000,Metro,1500000,0.9524,1.086,5,2054,6711,1945,79,4.0,473,0,1319500,113900,1433400,1.0988,12 - A-2 Medium Density Apartme,Zone X,0,0,0,2.0,2021-10-04,2021-06-01,0,1,0,1,2,1,0,3,1,0,0
202119998,0,25,1050000,DiamondHd,1106000,1.0533,0.9494,3,1200,9100,1982,12,6.0,232,0,670000,122700,792700,1.3246,04 - R-7.5 Residential District,Zone D,1,0,1,1.0,2021-10-01,2021-08-13,0,0,0,0,2,0,0,3,0,0,0
202120399,0,13,1050000,DiamondHd,995000,0.9476,1.0553,3,928,5000,1972,12,4.5,247,0,680000,165600,845600,1.2417,05 - R-5 Residential District,Zone X,1,0,0,1.0,2021-10-01,2021-08-09,0,0,0,1,2,0,1,2,1,0,0
202118887,0,25,1068000,HawaiiKai,1168000,1.0936,0.9144,3,1452,5100,1968,7,5.0,176,0,649300,92700,742000,1.4394,05 - R-5 Residential District,Zone D,1,0,0,1.0,2021-10-01,2021-07-27,0,0,0,0,2,0,1,2,1,0,0
202115816,0,7,1200000,Metro,950000,0.8636,1.2632,3,1816,4899,1935,40,1.0,322,0,1034100,67100,1101200,0.9989,12 - A-2 Medium Density Apartme,Zone A,0,0,0,1.0,2021-10-01,2021-06-17,0,1,0,1,1,0,0,1,1,0,0
202119952,0,11,995000,HawaiiKai,1050000,1.0553,0.9476,3,992,6000,1971,12,6.0,210,0,764600,66800,821400,1.2113,05 - R-5 Residential District,Zone D,1,0,1,1.0,2021-09-30,2021-08-05,0,0,0,0,1,1,1,2,0,0,0
202115893,0,23,998000,HawaiiKai,998000,1.0,1.0,3,1038,4050,1985,21,6.0,227,0,657200,260300,917500,1.0877,05 - R-5 Residential District,Zone D,1,0,1,1.0,2021-09-30,2021-07-28,0,0,0,0,2,0,0,3,1,0,0
202104290,0,25,1249000,DiamondHd,1125000,0.9414,1.1102,5,1536,5652,1955,153,5.0,264,0,799500,208500,1008000,1.1855,05 - R-5 Residential District,Zone X,1,0,0,2.0,2021-09-30,2021-02-23,0,1,0,1,2,0,0,3,0,0,0
